Metabolite,Formula,Fragment,Huh7_Hypoxia_R_1,Huh7_Hypoxia_R_2,Huh7_Hypoxia_R_3,Huh7_Normoxia_R_1,Huh7_Normoxia_R_2,Huh7_Normoxia_R_3
,,phe235(M1),1.43E+06,1.80E+06,1603585,1.30E+06,1.16E+06,1458485
,,phe236(M2),4.03E+05,5.57E+05,4.58E+05,3.69E+05,3.22E+05,4.23E+05
,,phe237(M3),5.59E+04,8.04E+04,6.43E+04,5.11E+04,4.56E+04,6.09E+04
,,phe238(M4),9.51E+03,1.81E+04,1.21E+04,9.66E+03,6308,9576
,,phe239(M5),2.94E+02,1.77E+03,2922,0,2.66E+03,2.16E+03
,,phe240(M6),0,5.96E+01,7.86E+02,4.43E+02,2.79E+02,0
,,phe241(M7),0,0,0,0,0,0
,,phe242(M8),3.15E+02,2.84E+03,1805,1.91E+03,4.87E+03,6.80E+03
,,phe243(M9),0,2.82E+03,2209,6.74E+02,0,3.17E+03
phe__L_c,C14H32O2NSi2,phe302(M0),9.19E+06,1.18E+07,10237710,1.09E+07,9816716,12248285
,,phe303(M1),2.59E+06,3.38E+06,2945917,3414791,3.11E+06,3848736
,,phe304(M2),1.87E+06,2.56E+06,2.00E+06,3.73E+06,3.50E+06,4.43E+06
,,phe305(M3),329472,3.81E+05,318960,799888,738760,864848
,,phe306(M4),1.08E+05,1.38E+05,1.07E+05,278650,2.61E+05,3.22E+05
,,phe307(M5),9.54E+03,2969,392,4.56E+04,2.99E+04,2.39E+04
asp__L_m,C14H32O2N1Si2,asp302(M0),9.19E+06,1.18E+07,1.02E+07,1.09E+07,9817172,12246017
,,asp303(M1),2.59E+06,3.39E+06,2.94E+06,3414791,3104636,3.84E+06
,,asp304(M2),1.87E+06,2.56E+06,2.01E+06,3726983,3502821,4.43E+06
,,asp305(M3),329472,379530,2.99E+05,799888,736784,8.36E+05
,,asp306(M4),107735,1.37E+05,1.03E+05,278650,260495,3.14E+05
,,asp307(M5),9.29E+03,3050,0,4.56E+04,2.96E+04,2.04E+04
,,asp308(M6),3.67E+06,4.69E+06,4.14E+06,3338400,2931100,3.71E+06
,,asp309(M7),1.10E+06,1.39E+06,1.24E+06,9.88E+05,8.64E+05,1.10E+06
,,asp310(M8),4.18E+05,5.87E+05,4.79E+05,3.76E+05,3.30E+05,4.29E+05
asp__L_m,C17H40O3N1Si3,asp390(M0),2.43E+05,3.95E+05,2.66E+05,1032941,9.50E+05,1183653
,,asp391(M1),1.04E+05,1.71E+05,1.15E+05,552851,5.40E+05,6.37E+05
,,asp392(M2),1.14E+05,1.76E+05,1.36E+05,4.67E+05,4.45E+05,552105
,,asp393(M3),290436,4.54E+05,3.41E+05,9.16E+05,8.67E+05,1.08E+06
,,asp394(M4),9.30E+04,1.46E+05,1.11E+05,286423,2.77E+05,354665
,,asp395(M5),4.23E+04,6.61E+04,4.83E+04,126161,1.21E+05,1.48E+05
,,asp396(M6),9092,14208,10707,26773,24127,32367
,,asp397(M7),3680,5.40E+03,4.41E+03,7776,8.06E+03,9.97E+03
,,asp398(M8),1373,1907,1170,2.00E+03,2.17E+03,2.30E+03
,,asp399(M9),2.21E+03,2.52E+03,1.42E+03,2.45E+03,1.98E+03,2.24E+03
,,asp400(M10),6289,9414,6.80E+03,21908,20337,26883
asp__L_m,C18H40O4N1Si3,asp418(M0),4.41E+05,7.14E+05,4.74E+05,1.84E+06,1.69E+06,2.08E+06
,,asp419(M1),1.71E+05,280305,1.86E+05,8.48E+05,8.17E+05,980653
,,asp420(M2),151452,232385,1.68E+05,8.17E+05,7.90E+05,9.51E+05
,,asp421(M3),2.05E+05,3.10E+05,2.47E+05,645164,609763,743534
,,asp422(M4),4.57E+05,6.93E+05,5.20E+05,1408886,1.35E+06,1.71E+06
,,asp423(M5),1.51E+05,2.33E+05,1.72E+05,455747,433047,5.55E+05
,,asp424(M6),64045,9.96E+04,75039,2.00E+05,189155,2.41E+05
,,asp425(M7),1.26E+04,22058,1.54E+04,4.27E+04,4.14E+04,5.32E+04
,,asp426(M8),2288,4.25E+03,3.20E+03,11151,9350,1.15E+04
,,asp427(M9),331,797,0,1263,1.67E+03,1.57E+03
,,asp428(M10),343,160,2.65E+02,363,0,0
pro__L_c,C12H28O1N1Si2,pro258(M0),7.65E+05,7.54E+05,5.05E+05,1.77E+06,433761,1.46E+06
,,pro259(M1),2.38E+05,2.42E+05,1.66E+05,889568,236406,7.59E+05
,,pro260(M2),4.58E+05,474862,3.20E+05,1664028,442937,1.46E+06
,,pro261(M3),2.11E+05,2.18E+05,139750,571380,1.45E+05,4.99E+05
,,pro262(M4),3.11E+06,3.16E+06,2.02E+06,5100440,1180192,4.34E+06
,,pro263(M5),6.48E+05,6.54E+05,4.27E+05,1.04E+06,2.49E+05,8.76E+05
,,pro264(M6),274855,2.78E+05,1.78E+05,4.37E+05,103197,3.74E+05
,,pro265(M7),3.86E+04,3.74E+04,2.74E+04,5.91E+04,15365,5.18E+04
,,pro266(M8),6.04E+03,6.35E+03,4.51E+03,12390,2.48E+03,9.64E+03
pro__L_c,C16H36O2N1Si2,pro330(M0),2.66E+06,2.50E+06,1.70E+06,5926736,1400889,4820815
,,pro331(M1),7.88E+05,7.59E+05,4.96E+05,2611182,6.29E+05,2.14E+06
,,pro332(M2),7.07E+05,7.12E+05,440261,2.31E+06,544281,1.93E+06
,,pro333(M3),1.11E+06,1116061,6.77E+05,4.60E+06,1.09E+06,3886116
,,pro334(M4),7.31E+05,7.33E+05,457213,1750793,415576,1469957
,,pro335(M5),10622584,1.04E+07,6.80E+06,1.68E+07,4068969,1.45E+07
,,pro336(M6),2.29E+06,2.30E+06,1460010,3.71E+06,8.65E+05,3.15E+06
,,pro337(M7),1035897,1.02E+06,656221,1.65E+06,385982,1398555
,,pro338(M8),1.51E+05,1.49E+05,9.54E+04,236811,59549,199183
,,pro339(M9),3.09E+04,3.01E+04,2.19E+04,49032,13753,4.15E+04
,,pro340(M10),3031,2.08E+03,2.69E+03,5.77E+03,605,5036
,,pro341(M11),0,0,1.38E+03,0,0,0
,,pro342(M12),0,0,6.26E+02,0,0,2.51E+03
cys__L,C17H40O2N1Si3S1,cys406(M0),194581,3.59E+05,6.82E+03,3.90E+05,181205,1.28E+05
,,cys407(M1),217864,328758,5.83E+03,2.33E+05,207331,1.75E+05
,,cys408(M2),92173,145945,3.02E+03,112135,83080,7.02E+04
,,cys409(M3),1.37E+05,2.23E+05,9.52E+03,1.15E+05,94696,1.06E+05
,,cys410(M4),3.91E+04,6.60E+04,3.80E+03,3.39E+04,2.85E+04,3.16E+04
,,cys411(M5),2.47E+04,1.01E+05,3.31E+03,2.17E+04,55550,8.28E+04
